"location_name","year_id","sex","age_group","mean","lower","upper","measure"
"Ireland",2019,"Female","0 to 14",1.31388677020084,1.09493939763255,1.55306974911744,"Blood lead (ug/dL)"
"Israel",2019,"Male","0 to 14",1.82696396947194,1.53911608186251,2.19547821814257,"Blood lead (ug/dL)"
"Israel",2019,"Female","0 to 14",1.33207814545266,1.10825368300524,1.59077544960943,"Blood lead (ug/dL)"
"Italy",2019,"Male","0 to 14",1.30662826944453,1.09127482482446,1.55046287436119,"Blood lead (ug/dL)"
"Italy",2019,"Female","0 to 14",1.05893894457647,0.892041081874839,1.25130618222258,"Blood lead (ug/dL)"
"Luxembourg",2019,"Male","0 to 14",1.11889164634465,0.92750187787697,1.32157899494121,"Blood lead (ug/dL)"
"Luxembourg",2019,"Female","0 to 14",0.942269275537362,0.783055740875109,1.1129889915765,"Blood lead (ug/dL)"
"Malta",2019,"Male","0 to 14",2.80321804146116,2.33975894804305,3.36591228088144,"Blood lead (ug/dL)"
"Malta",2019,"Female","0 to 14",1.38816292565806,1.15930197009949,1.65763345333094,"Blood lead (ug/dL)"
"Netherlands",2019,"Male","0 to 14",1.29059473299127,1.0701065220976,1.53221180580652,"Blood lead (ug/dL)"
"Netherlands",2019,"Female","0 to 14",1.08814844383265,0.911887930569556,1.30688054121435,"Blood lead (ug/dL)"
"Norway",2019,"Male","0 to 14",1.43917015263352,1.20678007967809,1.70198957503853,"Blood lead (ug/dL)"
"Norway",2019,"Female","0 to 14",1.18880945966593,0.996701990737524,1.41413367487991,"Blood lead (ug/dL)"
"Portugal",2019,"Male","0 to 14",2.32498494860108,1.95551235582922,2.74078347220552,"Blood lead (ug/dL)"
"Portugal",2019,"Female","0 to 14",1.89857711364661,1.56429919558385,2.27304480849714,"Blood lead (ug/dL)"
"Spain",2019,"Male","0 to 14",1.73213369821263,1.43919310660354,2.05605244600046,"Blood lead (ug/dL)"
"Spain",2019,"Female","0 to 14",1.45580229066124,1.2101651862525,1.75677184555331,"Blood lead (ug/dL)"
"Sweden",2019,"Male","0 to 14",1.05107314760181,0.901865994363411,1.22745818625875,"Blood lead (ug/dL)"
"Sweden",2019,"Female","0 to 14",0.907928274295985,0.769740999954955,1.06336326608716,"Blood lead (ug/dL)"
"Switzerland",2019,"Male","0 to 14",2.06007971488727,1.73802426360715,2.43397355656665,"Blood lead (ug/dL)"
"Switzerland",2019,"Female","0 to 14",1.35288532974666,1.12623645778641,1.63130141293516,"Blood lead (ug/dL)"
