location_name,year_id,sex,age_group,mean,lower,upper,measure
Spain,2019,Female,0 to 14,72546,45698,141764,Number of people with BLLs >5 ug/dL
Sweden,2019,Male,0 to 14,12749,7732,19634,Number of people with BLLs >5 ug/dL
Sweden,2019,Female,0 to 14,9690,6341,15063,Number of people with BLLs >5 ug/dL
Switzerland,2019,Male,0 to 14,34693,15341,71359,Number of people with BLLs >5 ug/dL
Switzerland,2019,Female,0 to 14,12980,7552,24615,Number of people with BLLs >5 ug/dL
United Kingdom,2019,Male,0 to 14,101924,87215,125478,Number of people with BLLs >5 ug/dL
United Kingdom,2019,Female,0 to 14,72098,64159,97650,Number of people with BLLs >5 ug/dL
Argentina,2019,Male,0 to 14,515226,238756,996615,Number of people with BLLs >5 ug/dL
Argentina,2019,Female,0 to 14,306806,127403,612563,Number of people with BLLs >5 ug/dL
Chile,2019,Male,0 to 14,73409,32270,139172,Number of people with BLLs >5 ug/dL
Chile,2019,Female,0 to 14,54665,27006,106733,Number of people with BLLs >5 ug/dL
Uruguay,2019,Male,0 to 14,84924,39781,152895,Number of people with BLLs >5 ug/dL
Uruguay,2019,Female,0 to 14,68878,30011,130375,Number of people with BLLs >5 ug/dL
Canada,2019,Male,0 to 14,59831,37698,109135,Number of people with BLLs >5 ug/dL
Canada,2019,Female,0 to 14,45091,26095,72795,Number of people with BLLs >5 ug/dL
United States of America,2019,Male,0 to 14,554122,333921,962405,Number of people with BLLs >5 ug/dL
United States of America,2019,Female,0 to 14,437491,267356,750856,Number of people with BLLs >5 ug/dL
Antigua and Barbuda,2019,Male,0 to 14,384,126,892,Number of people with BLLs >5 ug/dL
Antigua and Barbuda,2019,Female,0 to 14,294,91,674,Number of people with BLLs >5 ug/dL
Bahamas,2019,Male,0 to 14,1175,385,2819,Number of people with BLLs >5 ug/dL
Bahamas,2019,Female,0 to 14,1085,375,2487,Number of people with BLLs >5 ug/dL
Barbados,2019,Male,0 to 14,896,277,2022,Number of people with BLLs >5 ug/dL
Barbados,2019,Female,0 to 14,612,206,1446,Number of people with BLLs >5 ug/dL
Belize,2019,Male,0 to 14,4243,1567,9750,Number of people with BLLs >5 ug/dL
Belize,2019,Female,0 to 14,4174,1526,9544,Number of people with BLLs >5 ug/dL
Cuba,2019,Male,0 to 14,450599,184960,728548,Number of people with BLLs >5 ug/dL
Cuba,2019,Female,0 to 14,276632,93380,546564,Number of people with BLLs >5 ug/dL
Dominica,2019,Male,0 to 14,317,104,753,Number of people with BLLs >5 ug/dL
Dominica,2019,Female,0 to 14,457,151,1127,Number of people with BLLs >5 ug/dL
Dominican Republic,2019,Male,0 to 14,666837,244568,1131813,Number of people with BLLs >5 ug/dL
Dominican Republic,2019,Female,0 to 14,487680,164830,956974,Number of people with BLLs >5 ug/dL
Grenada,2019,Male,0 to 14,1121,389,2790,Number of people with BLLs >5 ug/dL
Grenada,2019,Female,0 to 14,1173,397,2879,Number of people with BLLs >5 ug/dL
Guyana,2019,Male,0 to 14,30487,9965,64544,Number of people with BLLs >5 ug/dL
Guyana,2019,Female,0 to 14,22695,6929,50936,Number of people with BLLs >5 ug/dL
Haiti,2019,Male,0 to 14,1900371,1483324,2070266,Number of people with BLLs >5 ug/dL
Haiti,2019,Female,0 to 14,1690716,1061595,2003636,Number of people with BLLs >5 ug/dL
Jamaica,2019,Male,0 to 14,52192,16337,120326,Number of people with BLLs >5 ug/dL
Jamaica,2019,Female,0 to 14,39277,12558,91121,Number of people with BLLs >5 ug/dL
Saint Lucia,2019,Male,0 to 14,943,326,2251,Number of people with BLLs >5 ug/dL
Saint Lucia,2019,Female,0 to 14,1027,349,2574,Number of people with BLLs >5 ug/dL
Saint Vincent and the Grenadines,2019,Male,0 to 14,1943,621,4747,Number of people with BLLs >5 ug/dL
Saint Vincent and the Grenadines,2019,Female,0 to 14,1597,503,3878,Number of people with BLLs >5 ug/dL
Suriname,2019,Male,0 to 14,6962,2342,17317,Number of people with BLLs >5 ug/dL
Suriname,2019,Female,0 to 14,4416,1441,11221,Number of people with BLLs >5 ug/dL
Trinidad and Tobago,2019,Male,0 to 14,2861,1079,6767,Number of people with BLLs >5 ug/dL
Trinidad and Tobago,2019,Female,0 to 14,1505,771,3215,Number of people with BLLs >5 ug/dL
Bolivia (Plurinational State of),2019,Male,0 to 14,1419953,796787,1829557,Number of people with BLLs >5 ug/dL
Bolivia (Plurinational State of),2019,Female,0 to 14,1307077,713373,1733091,Number of people with BLLs >5 ug/dL
Ecuador,2019,Male,0 to 14,350216,109667,853395,Number of people with BLLs >5 ug/dL
Ecuador,2019,Female,0 to 14,182526,59016,451949,Number of people with BLLs >5 ug/dL
Peru,2019,Male,0 to 14,3187835,1741406,4222560,Number of people with BLLs >5 ug/dL
Peru,2019,Female,0 to 14,2802906,1431706,3863396,Number of people with BLLs >5 ug/dL
Colombia,2019,Male,0 to 14,334807,118558,804289,Number of people with BLLs >5 ug/dL
Colombia,2019,Female,0 to 14,181771,57905,433130,Number of people with BLLs >5 ug/dL
Costa Rica,2019,Male,0 to 14,105479,32258,233822,Number of people with BLLs >5 ug/dL
Costa Rica,2019,Female,0 to 14,42798,13526,105590,Number of people with BLLs >5 ug/dL
El Salvador,2019,Male,0 to 14,351824,128521,622252,Number of people with BLLs >5 ug/dL
El Salvador,2019,Female,0 to 14,177477,56051,397646,Number of people with BLLs >5 ug/dL
Guatemala,2019,Male,0 to 14,2038883,1148470,2685078,Number of people with BLLs >5 ug/dL
Guatemala,2019,Female,0 to 14,1214755,456167,2123452,Number of people with BLLs >5 ug/dL
Honduras,2019,Male,0 to 14,989912,459690,1440702,Number of people with BLLs >5 ug/dL
Honduras,2019,Female,0 to 14,646479,238260,1156493,Number of people with BLLs >5 ug/dL
Mexico,2019,Male,0 to 14,6432257,5220530,7729645,Number of people with BLLs >5 ug/dL
Mexico,2019,Female,0 to 14,5381711,4301815,6586725,Number of people with BLLs >5 ug/dL
Nicaragua,2019,Male,0 to 14,146949,47222,350079,Number of people with BLLs >5 ug/dL
Nicaragua,2019,Female,0 to 14,54824,19334,133307,Number of people with BLLs >5 ug/dL
Panama,2019,Male,0 to 14,74861,23646,179498,Number of people with BLLs >5 ug/dL
